"","Time","Dedr","Age","Brt","Value","Claims"
"6784",1,1e+05,1.79,10.2,16.91,1
"6785",1,1e+05,1.95,10.13,16.79,0
"6786",1,1e+05,1.95,10.13,16.79,0
"6789",0.21,1e+05,3,10.12,16.81,0
"6790",0.79,1e+05,3,10.12,16.54,0
"6791",0.21,1e+05,2.48,10.09,16.79,0
"6792",0.79,1e+05,2.48,10.09,16.42,0
"6796",0.21,1e+05,2.64,11.25,16.91,0
"6797",0.79,1e+05,2.64,11.25,16.6,0
"6798",0.27,1e+05,2.08,9.8,16.83,0
"6799",0.73,1e+05,2.08,9.8,16.59,0
"6800",0.27,1e+05,2.08,9.8,16.83,0
"6801",0.73,1e+05,2.08,9.8,16.59,0
"6802",1,1e+05,2.94,10.16,16.23,0
"6803",1,1e+05,2.83,10.16,16.23,0
"6804",1,1e+05,2.83,10.16,16.23,0
"6831",1,1e+05,2.3,10.73,17.03,0
"6832",1,1e+05,2.3,10.73,17.03,0
"6833",1,1e+05,2.48,10.63,16.91,0
"6834",0.65,1e+05,2.48,10.63,16.91,0
"6835",0.35,1e+05,2.48,10.63,16.95,0
"6836",1,1e+05,2.4,10.73,16.99,0
"6860",1,150000,2.94,9.79,16.3,0
"6861",1,150000,2.89,9.79,16.3,0
"6875",1,150000,3.14,9.3,15.79,0
"6877",1,1e+05,2.94,9.8,15.89,0
"6878",1,1e+05,2.94,9.8,15.89,1
"6879",1,1e+05,3,9.73,15.76,1
"6939",0.46,75000,3.04,9.74,15.52,0
"6955",0.21,3e+05,2.64,11.26,17.07,0
"6956",1,3e+05,2.64,11.26,17.07,0
"6957",0.21,3e+05,2.3,11.26,17.22,0
"6958",1,3e+05,2.3,11.26,17.22,0
"6959",1,1e+05,2.89,10.11,15.82,0
"6964",1,75000,1.95,9.72,17.06,0
"6984",0.25,175000,1.95,11.22,17.14,0
"6985",0.75,175000,1.95,11.22,17.1,0
"6986",0.25,175000,2.2,11.31,17.06,1
"6987",0.75,175000,2.2,11.31,17.1,0
"6990",0.06,175000,2.2,11.25,17.01,0
"6991",0.25,175000,2.08,11.41,16.89,0
"6992",0.75,175000,2.08,11.41,16.86,0
"6993",0.25,175000,2.48,11.43,16.77,0
"6994",0.46,175000,2.48,11.43,16.64,0
"6995",1,175000,2.89,11.38,16.4,0
"6996",1,175000,2.89,11.38,16.4,0
"6997",0.25,175000,2.83,11.33,16.35,0
"6998",0.75,175000,2.83,11.33,16.53,0
"7030",1,150000,3.14,11.25,14.73,0
"7031",1,99999,3.14,11.25,17.12,0
"7040",1,150000,3.04,10.12,14.73,0
"7041",1,99999,3.04,10.12,17.84,0
"7067",0.17,5e+05,3.04,10.33,17.32,0
"7068",0.84,5e+05,3.04,10.33,17.32,0
"7077",0.17,5e+05,3.04,10.33,17.32,1
"7078",0.84,5e+05,3.04,10.33,17.32,0
"7088",1,150000,3.3,10.34,15.2,1
"7102",1,2e+05,1.95,11.59,17.5,0
"7103",1,2e+05,1.95,11.59,17.5,0
"7117",0.56,1e+05,3.14,10.75,15.81,0
"7118",0.56,1e+05,3.14,10.73,15.81,0
"7119",0.56,1e+05,3.04,10.73,15.89,0
"7120",0.56,1e+05,3.04,10.73,15.89,0
"7121",0.56,1e+05,3.09,10.73,15.81,0
"7122",0.56,1e+05,3.09,10.73,15.81,0
"7123",0.56,1e+05,3.09,10.72,15.81,0
"7149",1,1e+05,3.09,10.01,15.69,0
"7150",1,1e+05,3.09,10.01,15.69,0
"7151",1,1e+05,3.09,10.01,15.69,0
"7152",1,1e+05,2.83,10.01,16.07,0
"7153",1,1e+05,2.83,9.94,15.96,0
"7162",0.7,1e+05,2.94,10.09,15.69,0
"7163",0.3,1e+05,2.94,10.09,15.8,0
"7164",0.7,1e+05,2.94,10.12,15.69,0
"7165",0.3,1e+05,2.94,10.12,15.8,0
"7166",0.7,1e+05,2.94,10.09,15.72,0
"7167",0.3,1e+05,2.94,10.09,15.8,0
"7168",1,75000,2.08,10.19,16.94,0
"7169",1,75000,2.08,10.2,16.94,0
"7170",1,75000,2.94,10.12,16.47,0
"7173",1,75000,2.94,10.01,16.37,0
"7174",1,75000,2.94,10.02,16.47,0
"7177",0.93,75000,3.04,9.99,16.37,0
"7178",1,75000,2.94,10.11,16.37,0
"7179",0.41,1e+05,1.61,10.56,16.95,0
"7180",1,1e+05,1.61,10.56,16.95,0
"7221",1,90000,2.71,9.74,16.12,0
"7222",1,90000,2.71,9.74,16.12,0
"7247",1,75000,3.14,9.91,16.64,0
"7248",0.56,75000,2.94,10.02,16.33,0
"7250",1,75000,3,10.02,16.08,0
"7351",1,2e+05,3.33,10.46,17.28,1
"7352",1,2e+05,3.3,10.46,17.28,0
"7353",1,2e+05,3.14,10.5,17.36,0
"7441",1,250000,2.4,10.45,17.44,0
"7442",1,2e+05,2.89,11.27,14.51,0
"7443",1,2e+05,2.94,11.44,15.19,0
"7445",0.45,2e+05,3.04,10.23,16.54,0
"7446",1,250000,2.08,11.36,17.39,0
"7447",1,250000,2.08,11.35,17.49,0
"7448",1,250000,1.95,11.34,17.39,0
